number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_gain_to_split,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_basic_engineered,params_use_competitor,params_use_search_context,params_use_user_history,state
0,0.39643374792999486,2026-05-17 11:33:42.236097,2026-05-17 11:34:18.663438,0 days 00:00:36.427341,0.49359671220172163,0.030710573677773714,8,15,1.416145155592091,978,195,0.6245760287469887,0.002570603566117596,0.4936111842654619,False,False,True,False,COMPLETE
1,0.39304271472910074,2026-05-17 11:34:18.664847,2026-05-17 11:34:58.310324,0 days 00:00:39.645477,0.6198171059762151,0.03647316284911211,4,51,1.0284688768272232,381,168,0.11656915613247415,6.267062696005991e-07,0.575286789121131,True,True,True,False,COMPLETE
2,0.3916925041178573,2026-05-17 11:34:58.311566,2026-05-17 11:36:05.241128,0 days 00:01:06.929562,0.6971061460667621,0.02490643969382439,3,13,1.325044568707964,772,184,1.5271567592511939,2.133142332373e-06,0.47322294090686734,True,False,True,True,COMPLETE
3,0.39482491826337807,2026-05-17 11:36:05.242502,2026-05-17 11:36:35.727707,0 days 00:00:30.485205,0.5951981984579586,0.059963338824126605,8,45,0.7135066533871786,454,50,2.7678419414850017e-06,0.287499823474079,0.4271363733463229,True,False,False,False,COMPLETE
4,0.39934328102723604,2026-05-17 11:36:35.728497,2026-05-17 11:39:04.743784,0 days 00:02:29.015287,0.44442679104045424,0.010166803740022877,7,42,1.2465962536551158,1148,190,1.1036250149900698e-07,0.5860448217200526,0.8627622080115674,True,True,False,True,COMPLETE
5,0.39889658454502197,2026-05-17 11:39:04.744526,2026-05-17 11:40:45.903987,0 days 00:01:41.159461,0.6962773578186344,0.014308552498147852,7,57,0.2157828539866089,930,202,7.04480806377519e-05,1.6934490731313353e-08,0.8625803079727365,False,False,False,True,COMPLETE
6,0.38469747005023214,2026-05-17 11:40:45.904605,2026-05-17 11:41:16.820061,0 days 00:00:30.915456,0.8848722277386502,0.01984601321734508,3,67,0.3731401177720717,409,96,0.6968596391373528,0.17102070487973364,0.9578185914055438,False,True,False,True,COMPLETE
7,0.3940030899248022,2026-05-17 11:41:16.820740,2026-05-17 11:41:36.320061,0 days 00:00:19.499321,0.5332646862824382,0.11594759566372474,8,20,0.6464058640415105,864,32,1.0927895733904103e-05,3.06328451265521,0.6504466018892674,True,False,False,True,COMPLETE
8,0.39104153224510174,2026-05-17 11:41:36.320704,2026-05-17 11:42:35.709336,0 days 00:00:59.388632,0.5671878785419668,0.023473941999051617,3,92,0.978905520555126,853,168,1.4323759352560882e-06,2.0139739500176936e-07,0.4308872507499936,False,True,False,False,COMPLETE
9,0.3985120224955717,2026-05-17 11:42:35.709978,2026-05-17 11:43:26.760704,0 days 00:00:51.050726,0.5119111062399125,0.06671771392675703,6,13,0.033175657855712304,1286,51,0.0020798714270728394,0.012533698878351464,0.5924680389830416,True,True,True,True,COMPLETE
10,0.39358456194408087,2026-05-17 11:43:26.761783,2026-05-17 11:44:57.830156,0 days 00:01:31.068373,0.4232351199767098,0.010635281498892292,5,33,1.984725330920674,1418,249,1.25901082270381e-08,9.877266996068118e-05,0.784053101480534,True,True,False,True,COMPLETE
11,0.39727170388885513,2026-05-17 11:44:57.830911,2026-05-17 11:46:55.899148,0 days 00:01:58.068237,0.8988840791527308,0.010988091629693829,6,70,1.6603560695551478,1123,231,1.7270812116459777e-08,2.044524497254197e-08,0.8518718877207356,False,False,False,True,COMPLETE
12,0.39899025432033564,2026-05-17 11:46:55.899775,2026-05-17 11:48:47.459242,0 days 00:01:51.559467,0.7980438571671895,0.015247691510968693,7,72,0.0254170648956073,1174,122,0.0008508913897510668,1.4087210570430629e-05,0.9438487048618217,False,False,False,True,COMPLETE
13,0.3986577723405371,2026-05-17 11:48:47.459865,2026-05-17 11:50:36.970133,0 days 00:01:49.510268,0.8066167678525487,0.015902069712792854,7,95,1.0876755444565716,1186,115,0.003372132408928306,4.412319730091893e-05,0.9978914813960813,False,True,False,True,COMPLETE
